"spkid","full_name","moid_ld","H","rot_per","pha"
20371660,"371660 (2007 CN26)",1.09,21.11,,Y
20373135,"373135 (2011 SD173)",0.835,19.52,,Y
20374038,"374038 (2004 HW)",3.49,17.20,2.52,Y
20374158,"374158 (2004 UL)",6.75,18.64,38,Y
20374851,"374851 (2006 VV2)",3.7,16.71,2.425,Y
20374855,"374855 (2006 VQ13)",3.26,20.11,,Y
20377097,"377097 (2002 WQ4)",7.47,19.71,36,Y
20377732,"377732 (2005 XJ8)",6.21,17.06,42.89,Y
20380636,"380636 (2004 XN14)",1.24,19.76,,Y
20381906,"381906 (2010 CL19)",4.41,17.81,3.5197,Y
20382406,"382406 (1996 AJ1)",1.89,20.57,,Y
20382758,"382758 (2003 GY)",9.14,20.20,,Y
20382825,"382825 (2003 XB22)",5.6,19.30,,Y
20385186,"385186 (1994 AW1)",7.09,17.64,2.5193,Y
20385343,"385343 (2002 LV)",2.59,16.55,6.195,Y
20385605,"385605 (2005 EJ225)",6.91,18.97,,Y
20386454,"386454 (2008 XM)",1.79,20.03,,Y
20387505,"387505 (1998 KN3)",7.12,18.78,,Y
20387668,"387668 (2002 SZ)",1.14,20.51,,Y
20387746,"387746 (2003 MH4)",0.847,20.13,,Y
20388188,"388188 (2006 DP14)",6.49,19.00,5.7868,Y
20388945,"388945 (2008 TZ3)",6.22,20.45,39.15,Y
20389694,"389694 (2011 QD48)",7,18.20,5.24,Y
20390929,"390929 (2005 GP21)",5.3,20.44,,Y
20395207,"395207 (2010 HQ80)",3.65,19.61,,Y
20398188,"398188 Agni (2010 LE15)",8.51,19.33,21.99,Y
20399774,"399774 (2005 NB7)",3.14,18.80,3.4882,Y
20401954,"401954 (2002 RW25)",6.52,18.89,,Y
20403775,"403775 (2011 HS4)",2.33,20.90,,Y
20405212,"405212 (2003 QC10)",0.647,18.04,15.27,Y
20406213,"406213 (2007 AB2)",5.09,20.34,8.545,Y
20408792,"408792 (2000 GF2)",4.11,20.56,,Y
20410627,"410627 (2008 RG1)",5.37,20.91,,Y
20410777,"410777 (2009 FD)",0.817,22.18,4,N
20410778,"410778 (2009 FG19)",9.83,18.15,8,Y
20413260,"413260 (2003 TL4)",9.83,19.57,27.2,Y
20413577,"413577 (2005 UL5)",2.17,20.34,3.4591,Y
20414287,"414287 (2008 OB9)",4.86,17.73,42.5,Y
20414990,"414990 (2011 EM51)",5.08,21.90,,Y
20415029,"415029 (2011 UL21)",6.12,15.93,2.732,Y
20415713,"415713 (1998 XX2)",6.2,20.00,,Y
20415745,"415745 (2000 GV147)",1.69,19.34,,Y
20416195,"416195 (2002 TR190)",1.38,19.44,,Y
20416801,"416801 (2005 GC120)",2.18,19.64,9.,Y
20417612,"417612 (2006 WQ29)",7.6,18.43,,Y
20417634,"417634 (2006 XG1)",5.82,18.57,,Y
20417949,"417949 (2007 TB23)",1.77,18.81,,Y
20418094,"418094 (2007 WV4)",7.38,19.67,9.929,Y
20418135,"418135 (2008 AG33)",6.71,19.37,,Y
20418416,"418416 (2008 LV16)",2.4,20.29,,Y
20419472,"419472 (2010 DW1)",3.43,19.97,,Y
20420210,"420210 (2011 HF)",3.98,20.43,,Y
20422787,"422787 (2001 WS1)",4.59,17.03,,Y
20423321,"423321 (2005 ED318)",2.63,20.90,17.157,Y
20423709,"423709 (2006 BQ6)",4.11,19.75,4.416,Y
20424482,"424482 (2008 DG5)",6.91,19.57,11.162,Y
20425755,"425755 (2011 CP4)",7.44,21.12,,Y
20428209,"428209 (2006 VC)",7.18,20.12,7.8,Y
20429584,"429584 (2011 EU29)",1.27,19.80,43.5,Y
20430544,"430544 (2002 GM2)",4.36,18.73,2.633,Y
20430804,"430804 (2005 AD13)",6.78,17.89,,Y
20433953,"433953 (1997 XR2)",0.428,20.92,9.3205,Y
20434734,"434734 (2006 FX)",1.28,20.01,,Y
20435159,"435159 (2007 LQ19)",5.02,17.13,,Y
20435548,"435548 (2008 QT3)",4.6,18.87,,Y
20436329,"436329 (2010 GX62)",0.187,20.09,,Y
20436671,"436671 (2011 SV71)",8.31,18.00,,Y
20436724,"436724 (2011 UW158)",1.63,19.98,0.61073,Y
20436774,"436774 (2012 KY3)",9.75,18.41,,Y
20437844,"437844 (1999 MN)",2.29,21.01,5.495,Y
20437905,"437905 (2001 XU30)",1.37,19.98,,Y
20438105,"438105 (2005 GO22)",7.25,18.77,4.103,Y
20438908,"438908 (2009 XO)",0.733,20.63,,Y
20438955,"438955 (2010 LN14)",7.02,21.01,3.842,Y
20439437,"439437 (2013 NK4)",5.78,18.93,,Y
20440212,"440212 (2004 OB)",4.52,18.97,,Y
20441641,"441641 (2008 WZ13)",5.26,18.62,,Y
20441987,"441987 (2010 NY65)",7.19,21.36,4.9706,Y
20442037,"442037 (2010 PR66)",1,19.26,2.0734,Y
20443103,"443103 (2013 WT67)",4.85,17.97,135,Y
20443104,"443104 (2013 XK22)",0.0202,24.16,,N
20444004,"444004 (2004 AS1)",8.48,20.57,,Y
20444193,"444193 (2005 SE71)",0.887,18.19,66.8,Y
20444584,"444584 (2006 UK)",5.46,20.25,5.721,Y
20445305,"445305 (2010 DM56)",2.74,19.82,,Y
20445830,"445830 (2012 CL19)",4.45,22.23,,N
20445974,"445974 (2013 BJ18)",10,20.29,,Y
20448003,"448003 (2008 DE)",2.73,19.63,,Y
20448721,"448721 (2011 BN24)",6.09,20.98,8,Y
20450142,"450142 (1998 XN2)",3.18,19.88,,Y
20450237,"450237 (2002 XY38)",1.12,23.18,,N
20450270,"450270 (2004 AE)",9.02,20.60,,Y
20450293,"450293 (2004 LV3)",4.16,18.83,,Y
20450300,"450300 (2004 QD14)",5.37,20.68,,Y
20450894,"450894 (2008 BT18)",5.19,18.17,2.5702,Y
20451124,"451124 (2009 KC3)",2.53,18.08,,Y
20451297,"451297 (2010 TK54)",4.31,19.19,,Y
20452302,"452302 (1995 YR1)",5.46,20.23,5.006,Y
20452807,"452807 (2006 KV89)",5.25,21.52,,Y
20453563,"453563 (2010 BB)",4.23,20.22,,Y
20453729,"453729 (2011 BO24)",8.19,18.81,,Y
20453778,"453778 (2011 JK)",8.41,18.52,2.4567,Y
20454094,"454094 (2013 BZ45)",9.4,21.87,0.4831,Y
20454100,"454100 (2013 BO73)",6.99,20.18,1.1,Y
20454101,"454101 (2013 BP73)",0.797,20.45,,Y
20455148,"455148 (1994 UG)",9.39,21.12,,Y
20456938,"456938 (2007 YV56)",1.9,20.98,,Y
20457768,"457768 (2009 KN4)",4.28,18.38,,Y
20458116,"458116 (2010 DA)",2.01,20.29,,Y
20458122,"458122 (2010 EW45)",7.42,17.55,,Y
20458418,"458418 (2011 AM12)",2.7,19.47,,Y
20461852,"461852 (2006 GY2)",3.28,18.90,2.25,Y
20462550,"462550 (2009 CB3)",4.62,19.63,,Y
20462959,"462959 (2011 DU)",6.9,21.08,10.29,Y
20463387,"463387 (2013 CT82)",5.02,18.44,,Y
20465633,"465633 (2009 JR5)",9.61,20.44,,Y
20465824,"465824 (2010 FR)",2.15,21.69,,Y
20465892,"465892 (2010 UT7)",8,19.72,,Y
20466508,"466508 (2014 GY48)",9.65,18.72,6.82,Y
20467351,"467351 (2003 KO2)",0.125,20.36,6.48,Y
20467460,"467460 (2006 JF42)",1.43,19.05,13.98,Y
20468005,"468005 (2012 XD112)",5.74,21.19,,Y
20468468,"468468 (2004 KH17)",1.83,22.01,,Y
20469445,"469445 (2002 LT24)",4.43,22.14,,N
20469896,"469896 (2005 WC1)",5.43,20.66,2.582,Y
20470310,"470310 (2007 LB15)",3.06,19.61,,Y
20471240,"471240 (2011 BT15)",0.199,21.70,0.109138,Y
20471984,"471984 (2013 UE3)",9.1,22.86,,N
20474158,"474158 (1999 FA)",2.04,20.71,10.092,Y
20474163,"474163 (1999 SO5)",5.08,20.81,1.38,Y
20475016,"475016 (2005 UO)",0.723,22.06,,N
20475534,"475534 (2006 TS7)",5.94,21.25,,Y
20478574,"478574 (2012 TS78)",2.58,18.60,,Y
20478784,"478784 (2012 UV136)",4.6,25.60,,N
20480936,"480936 (2003 QH5)",2.07,20.26,6.74,Y
20481394,"481394 (2006 SF6)",7.43,19.97,11.4876,Y
20481457,"481457 (2006 XD2)",7.04,21.11,3.7,Y
20481482,"481482 (2007 CA19)",7.5,17.58,,Y
20482250,"482250 (2011 LL2)",5.1,20.17,0.103154,Y
20482488,"482488 (2012 SW20)",2.39,19.77,,Y
20482650,"482650 (2013 BK18)",8.39,19.68,4.69,Y
20482766,"482766 (2013 GF69)",5.11,19.53,,Y
20482796,"482796 (2013 QJ10)",9.84,19.60,14.5,Y
20483422,"483422 (2000 CE59)",3.53,20.53,3.623,Y
20483423,"483423 (2000 DO1)",5.3,20.53,,Y
20483432,"483432 (2001 DF47)",7.11,20.44,,Y
20483560,"483560 (2004 BV1)",5.56,19.27,5.8124,Y
20483989,"483989 (2006 CY10)",4.46,20.40,,Y
20484402,"484402 (2007 XH16)",5.32,19.68,3.6342,Y
20484506,"484506 (2008 ER7)",0.403,20.16,,Y
20484517,"484517 (2008 EC69)",8.76,17.18,,Y
20484976,"484976 (2009 UN3)",9.68,18.52,4.123,Y
20485652,"485652 (2011 WO41)",5.85,16.60,4.609,Y
20487577,"487577 (2014 YQ15)",1.01,21.08,,Y
20487583,"487583 (2015 FJ36)",4.53,22.19,,N
20488453,"488453 (1994 XD)",7.87,19.24,2.7365,Y
20488490,"488490 (2000 AF205)",7.02,21.90,,Y
20488515,"488515 (2001 FE90)",4.54,20.71,0.4777,Y
20489486,"489486 (2007 GS3)",8.99,19.40,3.497,Y
20490354,"490354 (2009 FF19)",1.65,21.40,,Y
20494658,"494658 (2000 UG11)",3.68,20.71,4.44,Y
20494999,"494999 (2010 JU39)",2.25,19.68,30.2,Y
20496005,"496005 (2007 XJ16)",9.48,19.11,,Y
20496013,"496013 (2008 EL6)",8.27,21.00,,Y
20496816,"496816 (1989 UP)",2.19,20.54,6.98,Y
20496817,"496817 (1989 VB)",6.44,19.99,14.533,Y
20496860,"496860 (1999 XL136)",1.98,19.67,,Y
20496901,"496901 (2001 HB)",4.97,20.69,,Y
20497117,"497117 (2004 FU4)",1.02,18.34,,Y
