"spkid","full_name","e","per_y","class"
20438105,"438105 (2005 GO22)",0.8234,2.65,APO
20438908,"438908 (2009 XO)",0.5434,2.53,APO
20438955,"438955 (2010 LN14)",0.4745,1.24,APO
20439437,"439437 (2013 NK4)",0.5499,1.03,APO
20440212,"440212 (2004 OB)",0.4302,2.18,APO
20441641,"441641 (2008 WZ13)",0.5625,2.82,APO
20441987,"441987 (2010 NY65)",0.3701,1.01,APO
20442037,"442037 (2010 PR66)",0.6874,5.01,APO
20443103,"443103 (2013 WT67)",0.1922,1.05,APO
20443104,"443104 (2013 XK22)",0.2032,1.07,APO
20444004,"444004 (2004 AS1)",0.1744,1.11,APO
20444193,"444193 (2005 SE71)",0.1944,1.11,APO
20444584,"444584 (2006 UK)",0.5390,1.83,APO
20445305,"445305 (2010 DM56)",0.2926,1.49,APO
20445830,"445830 (2012 CL19)",0.4411,1.95,APO
20445974,"445974 (2013 BJ18)",0.3638,1.8,APO
20448003,"448003 (2008 DE)",0.4134,2.25,APO
20448721,"448721 (2011 BN24)",0.4123,1.92,APO
20450142,"450142 (1998 XN2)",0.5418,2.83,APO
20450237,"450237 (2002 XY38)",0.2177,0.87,ATE
20450270,"450270 (2004 AE)",0.3327,1.71,APO
20450293,"450293 (2004 LV3)",0.2757,1.37,APO
20450300,"450300 (2004 QD14)",0.3378,0.914,ATE
20450894,"450894 (2008 BT18)",0.5946,3.31,APO
20451124,"451124 (2009 KC3)",0.6984,5.75,APO
20451297,"451297 (2010 TK54)",0.4960,2.5,APO
20452302,"452302 (1995 YR1)",0.8268,2.21,APO
20452807,"452807 (2006 KV89)",0.2727,1.23,APO
20453563,"453563 (2010 BB)",0.2776,0.743,ATE
20453729,"453729 (2011 BO24)",0.2780,1.62,APO
20453778,"453778 (2011 JK)",0.4646,2.64,AMO
20454094,"454094 (2013 BZ45)",0.1447,1.02,APO
20454100,"454100 (2013 BO73)",0.4184,1.54,APO
20454101,"454101 (2013 BP73)",0.6289,1.53,APO
20455148,"455148 (1994 UG)",0.2927,1.38,APO
